EducationLevelKey,ParentEducationLevelKey,ThaiEducationLevelName,EnglishEducationLevelName
710,71,ผู้สำเร็จหลักสูตร,Graduated Level
711,71,ปริญญาโทชั้นปีที่ 1,"Master Degree Level, first year"
712,71,ปริญญาโทชั้นปีที่ 2,"Master Degree Level, second year"
719,71,ไม่ทราบชั้นเรียน,Unknown Level
73,7,การศึกษาทางศาสนา : พุทธศึกษา,Religious Study : Buddhism
730,73,ผู้สำเร็จหลักสูตร,Graduated Level
731,73,ปริญญาโทชั้นปีที่ 1,"Master Degree Level, first year"
732,73,ปริญญาโทชั้นปีที่ 2,"Master Degree Level, second year"
739,73,ไม่ทราบชั้นเรียน,Unknown Level
75,7,การศึกษาทางศาสนา : อิสลามศึกษา,Religious Study : Islamic
750,75,ผู้สำเร็จหลักสูตร,Graduated Level
751,75,ปริญญาโทชั้นปีที่ 1,"Master Degree Level, first year"
752,75,ปริญญาโทชั้นปีที่ 2,"Master Degree Level, second year"
759,75,ไม่ทราบชั้นเรียน,Unknown Level
76,7,ประกาศนียบัตรระดับสูงกว่าปริญญาโท (ประกาศนียบัตรบัณฑิตชั้นสูง),Graduated Diploma with Special Study  (higher than Master Degree)
760,76,ผู้สำเร็จหลักสูตร,Graduated Level
761,76,ประกาศนียบัตรบัณฑิตชั้นสูงชั้นปีที่ 1,"Graduated Diploma level, first year"
8,,ระดับปริญญาเอก,Doctoral Degree
81,8,ปริญญาเอก,Doctoral Degree
810,81,ผู้สำเร็จหลักสูตร,Graduated Level
811,81,ปริญญาเอกชั้นปีที่ 1,"Doctoral Degree Level, first year"
812,81,ปริญญาเอกชั้นปีที่ 2,"Doctoral Degree Level, second year"
813,81,ปริญญาเอกชั้นปีที่ 3,"Doctoral Degree Level, third year"
819,81,ไม่ทราบชั้นเรียน,Unknown Level
83,8,การศึกษาทางศาสนา : พุทธศึกษา,Religious Study : Buddhism
830,83,ผู้สำเร็จหลักสูตร,Graduated Level
831,83,ปริญญาเอกชั้นปีที่ 1,"Doctoral Degree Level, first year"
832,83,ปริญญาเอกชั้นปีที่ 2,"Doctoral Degree Level, second year"
833,83,ปริญญาเอกชั้นปีที่ 3,"Doctoral Degree Level, third year"
839,83,ไม่ทราบชั้นเรียน,Unknown Level
85,8,การศึกษาทางศาสนา : อิสลามศึกษา,Religious Study : Islamic
850,85,ผู้สำเร็จหลักสูตร,Graduated Level
851,85,ปริญญาเอกชั้นปีที่ 1,"Doctoral Degree Level, first year"
852,85,ปริญญาเอกชั้นปีที่ 2,"Doctoral Degree Level, second year"
853,85,ปริญญาเอกชั้นปีที่ 3,"Doctoral Degree Level, third year"
859,85,ไม่ทราบชั้นเรียน,Unknown Level
86,8,ประกาศนียบัตรระดับสูงกว่าปริญญาเอก,Graduated Diploma (higher than Doctoral Degree)
860,86,ผู้สำเร็จหลักสูตร,Graduated Level
861,86,ประกาศนียบัตรระดับสูงกว่าปริญญาเอกชั้นปีที่ 1,"Graduated Diploma , first year"
87,8,ประกาศนียบัตรแพทย์เฉพาะทาง,Diploma in Special Medical Study
870,87,ผู้สำเร็จหลักสูตร,Graduated Level
871,87,แพทย์เฉพาะทางชั้นปีที่ 1,"Special Medical Study, first year"
872,87,แพทย์เฉพาะทางชั้นปีที่ 2,"Special Medical Study, second year"
873,87,แพทย์เฉพาะทางชั้นปีที่ 3,"Special Medical Study, third year"
874,87,แพทย์เฉพาะทางชั้นปีที่ 4,"Special Medical Study, fourth year"
875,87,แพทย์เฉพาะทางชั้นปีที่ 5,"Special Medical Study, fifth year"
879,87,ไม่ทราบชั้นเรียน,Unknown Level
9,,การศึกษาอื่นๆ,Other Education
91,9,หลักสูตรที่ไม่ได้วุฒิการศึกษา,Non-Degree Program
911,91,หลักสูตรวิชาชีพระยะสั้น,Short Course Training
912,91,การศึกษาปอเนาะ,Por - Nor (related to Islamic Study)
919,91,หลักสูตรอื่นๆ ที่ไม่ได้วุฒิการศึกษา,Other Non-degree Program
92,9,การศึกษาที่เทียบระดับไมได้,Schooling but Incomparable Level
921,92,การศึกษาทางศาสนา : อิสลามศึกษา แผนกวิชาศาสนาอิสลาม,Related to Islamic Study
929,92,การศึกษาอื่นๆ ที่เทียบระดับไม่ได้,Others Incomparable Level
98,9,เรียนแต่ไม่ทราบระดับการศึกษา,Schooling but Unknown Education Level
980,98,เรียนแต่ไม่ทราบระดับการศึกษา,Schooling but Unknown Education Level
