"ExpenditureKey","IOSectorKey","Share"
"EG3901",89,100
"EG3902",89,100
"EG3903",134,100
"EG3904",90,100
"EG3905",90,100
"EG3906",89,100
"EG3907",89,100
"EG3908",90,100
"EG3909",90,100
"EG3910",90,100
"EG3911",90,100
"EG3912",89,50
"EG3912",90,50
"EG4001",108,50
"EG4001",119,50
"EG4002",119,100
"EG4003",108,50
"EG4003",119,50
"EG4101",90,100
"EG4102",90,100
"EG4103",90,100
"EG4104",90,100
"EG4105",90,100
"EG4106",89,100
"EG4107",90,100
"EG4108",82,50
"EG4108",89,50
"EG4201",131,100
"EG4202",118,100
"EG4203",76,100
"EG4204",76,50
"EG4204",98,50
"EG4205",130,100
"EG4206",76,25
"EG4206",98,25
"EG4206",131,25
"EG4206",134,25
"EG4301",70,100
"EG4302",82,100
"EG4303",82,100
"EG4304",82,100
"EG4305",82,100
"EG4306",82,100
"EG4307",82,50
"EG4307",70,50
"EG44",177,100
"EG4501",178,100
"EG4502",178,100
"EG4503",178,100
"EG4504",178,100
"EG4505",178,100
"EG4506",178,100
"EG4507",178,100
"EG4508",178,100
"EG4601",169,100
"EG4602",178,100
"EG4603",178,50
"EG4603",169,50
"EG4701",88,100
"EG4702",88,100
"EG4703",88,100
"EG4704",88,100
"EG4705",88,100
"EG4706",88,100
"EG4707",88,100
"EG4708",88,100
"EG4709",88,100
"EG4710",88,100
"EG4711",88,100
"EG4801",88,100
"EG4802",88,100
"EG4803",88,100
"EG4804",88,100
"EG4805",88,100
"EG4806",88,100
"EG4901",88,100
"EG4902",97,100
"EG50",88,100
"EG5101",70,50
"EG5101",82,50
"EG5102",88,100
"EG5103",88,100
"EG5104",129,100
"EG5105",129,25
"EG5105",88,25
"EG5105",70,25
"EG5105",82,25
"EG52_101",169,100
"EG52_102",169,100
"EG52_103",169,100
"EG52_2",169,100
"EG53_101",169,100
"EG53_102",169,100
"EG53_201",169,100
"EG53_202",169,100
"EG5401",169,100
"EG5402",169,100
"EG5403",169,100
"EG5501",169,100
"EG5502",169,100
"EG5503",169,100
"EG5504",169,100
"EG5505",169,100
"EG5506",169,100
"EG5507",169,100
"EG5508",169,100
"EG5509",169,100
"EG5510",169,100
"EG5511",169,100
"EG5512",169,100
"EG5513",169,100
"EG5514",169,100
"EG5515",169,100
"EG56",169,50
"EG56",130,50
"EG57",169,100
"EG58_101",169,100
"EG58_102",169,100
"EG58_103",169,100
"EG58_2",169,100
"EG59_101",169,100
"EG59_102",169,100
"EG59_103",169,100
"EG59_2",169,100
"EG60",169,100
"EG6101",125,100
