ExpenditureKey,ParentExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,,
EF0717A,EF07A,ฟักเขียว (ตัวเงิน),Wax gourd (cash),,
EF0717BC,EF07BC,ฟักเขียว (สิ่งของ),Wax gourd (in-kind),,
EF0718A,EF07A,ฟักทอง (ตัวเงิน),Pumpkin (cash),,
EF0718BC,EF07BC,ฟักทอง (สิ่งของ),Pumpkin (in-kind),,
EF0719A,EF07A,มะนาว (ตัวเงิน),Lime (cash),,
EF0719BC,EF07BC,มะนาว (สิ่งของ),Lime (in-kind),,
EF0720A,EF07A,พริกสด (ตัวเงิน),Chili (cash),,
EF0720BC,EF07BC,พริกสด (สิ่งของ),Chili (in-kind),,
EF0721A,EF07A,ขึ้นฉ่าย (ตัวเงิน),Celery (cash),,
EF0721BC,EF07BC,ขึ้นฉ่าย (สิ่งของ),Celery (in-kind),,
EF0722A,EF07A,ต้นหอม (ตัวเงิน),Spring onion (cash),,
EF0722BC,EF07BC,ต้นหอม (สิ่งของ),Spring onion (in-kind),,
EF0723A,EF07A,ถั่วลันเตา (ตัวเงิน),Green pea (cash),,
EF0723BC,EF07BC,ถั่วลันเตา (สิ่งของ),Green pea (in-kind),,
EF0724A,EF07A,หัวผักกาด (หัวไชเท้า) (ตัวเงิน),Turnip (Radish) (cash),,
EF0724BC,EF07BC,หัวผักกาด (หัวไชเท้า) (สิ่งของ),Turnip (Radish) (in-kind),,
EF0725A,EF07A,แครอท (ตัวเงิน),Carrot (cash),,
EF0725BC,EF07BC,แครอท (สิ่งของ),Carrot (in-kind),,
EF0726A,EF07A,ถั่วงอก (ตัวเงิน),Beansprout (cash),,
EF0726BC,EF07BC,ถั่วงอก (สิ่งของ),Beansprout (in-kind),,
EF0727A,EF07A,ขิง ข่า ตะไคร้ ใบมะกรูด (ตัวเงิน),"Ginger, galangal, lemongrass, (cash)",,
EF0727BC,EF07BC,ขิง ข่า ตะไคร้ ใบมะกรูด (สิ่งของ),"Ginger, galangal, lemongrass, (in-kind)",,
EF0728A,EF07A,ใบกะเพรา/โหระพา (ตัวเงิน),Holy basil / Basil (cash),,
EF0728BC,EF07BC,ใบกะเพรา/โหระพา (สิ่งของ),Holy basil / Basil (in-kind),,
EF0729A,EF07A,ตำลึง (ตัวเงิน),Ivy gourd (cash),,
EF0729BC,EF07BC,ตำลึง (สิ่งของ),Ivy gourd (in-kind),,
EF0730A,EF07A,มะระจีน (ตัวเงิน),Chinese gourd (cash),,
EF0730BC,EF07BC,มะระจีน (สิ่งของ),Chinese gourd (in-kind),,
EF0731A,EF07A,ข้าวโพดหวาน/ข้าวโพดรับประทาน (ตัวเงิน),Sweet corn (cash),,
EF0731BC,EF07BC,ข้าวโพดหวาน/ข้าวโพดรับประทาน (สิ่งของ),Sweet corn (in-kind),,
EF0732A,EF07A,ชะอม (ตัวเงิน),Acacia pennata (cash),,
EF0732BC,EF07BC,ชะอม (สิ่งของ),Acacia pennata (in-kind),,
EF0733A,EF07A,ผัก (สด) อื่น ๆ (ระบุ) (ตัวเงิน),Other fresh vegetables (specify) (cash),,
EF0733BC,EF07BC,ผัก (สด) อื่น ๆ (ระบุ) (สิ่งของ),Other fresh vegetables (specify) (in-kind),,
EF0734A,EF07A,หัวหอมแดง (ตัวเงิน),Dried onion / red onion / shallot (cash),,
EF0734BC,EF07BC,หัวหอมแดง (สิ่งของ),Dried onion / red onion / shallot (in-kind),,
EF0735A,EF07A,กระเทียม (ตัวเงิน),Garlic (cash),,
EF0735BC,EF07BC,กระเทียม (สิ่งของ),Garlic (in-kind),,
EF0736A,EF07A,พริกแห้ง (ตัวเงิน),Dried chili (cash),,
EF0736BC,EF07BC,พริกแห้ง (สิ่งของ),Dried chili (in-kind),,
EF0737A,EF07A,หน่อไม้ต้ม (ตัวเงิน),Boiled bamboo shoot (cash),,
EF0737BC,EF07BC,หน่อไม้ต้ม (สิ่งของ),Boiled bamboo shoot (in-kind),,
EF0738A,EF07A,ผักดองสำเร็จรูปพร้อมรับประทาน (บรรจุกระป๋อง/ (ตัวเงิน),Ready-to-eat pickles (canned/sachet/bag (cash),,
EF0738BC,EF07BC,ผักดองสำเร็จรูปพร้อมรับประทาน (บรรจุกระป๋อง/ (สิ่งของ),Ready-to-eat pickles (canned/sachet/bag (in-kind),,
EF0739A,EF07A,เห็ดตากแห้ง (เช่น เห็ดหอม เห็ดหูหนู) (ตัวเงิน),Dried  mushrooms (cash),,
EF0739BC,EF07BC,เห็ดตากแห้ง (เช่น เห็ดหอม เห็ดหูหนู) (สิ่งของ),Dried  mushrooms (in-kind),,
EF0740A,EF07A,ผักกาดดอง (ตัวเงิน),Pickled  turnips (cash),,
EF0740,EF07A,(ตัวเงิน),(cash),,
EF0741A,EF07A,ผัก (ตากแห้ง / ดอง / ทำเค็ม) อื่น ๆ (ระบุ) (ตัวเงิน),Other preserved vegetables (specify) (cash),,
EF0741BC,EF07BC,ผัก (ตากแห้ง / ดอง / ทำเค็ม) อื่น ๆ (ระบุ) (สิ่งของ),Other preserved vegetables (specify) (in-kind),,
EF08A,EF_8,8. น้ำตาล และ ขนมหวาน (ตัวเงิน),8. Sugar and Sweets (cash),,
EF08BC,EF_8,8. น้ำตาล และ ขนมหวาน (สิ่งของ),8. Sugar and Sweets (in-kind),,
EF0801A,EF08A,ลูกอม / ลูกกวาด (ตัวเงิน),Candy (cash),,
EF0801BC,EF08BC,ลูกอม / ลูกกวาด (สิ่งของ),Candy (in-kind),,
EF0802A,EF08A,ไอศกรีม (ตัวเงิน),Ice - cream (cash),,
EF0802BC,EF08BC,ไอศกรีม (สิ่งของ),Ice - cream (in-kind),,
EF0803A,EF08A,ขนมหวานต่าง ๆ (ตัวเงิน),Dessert (cash),,
EF0803BC,EF08BC,ขนมหวานต่าง ๆ (สิ่งของ),Dessert (in-kind),,
EF0804A,EF08A,น้ำตาลทรายขาว (ขัดสี/ไม่ขัดสี) (ตัวเงิน),White sugar (Refined/Unrefined) (cash),,
EF0804BC,EF08BC,น้ำตาลทรายขาว (ขัดสี/ไม่ขัดสี) (สิ่งของ),White sugar (Refined/Unrefined) (in-kind),,
EF0805A,EF08A,น้ำตาลมะพร้าว/น้ำตาลโตนด (น้ำตาลปีบ/ปึก/แว่น) (ตัวเงิน),Coconut sugar / Jaggery (cash),,
EF0805BC,EF08BC,น้ำตาลมะพร้าว/น้ำตาลโตนด (น้ำตาลปีบ/ปึก/แว่น) (สิ่งของ),Coconut sugar / Jaggery (in-kind),,
EF0806A,EF08A,อื่น ๆ เช่น น้ำตาลทรายแดง (ระบุ) (ตัวเงิน),Others eg. brown sugar (specify) (cash),,
EF0806BC,EF08BC,อื่น ๆ เช่น น้ำตาลทรายแดง (ระบุ) (สิ่งของ),Others eg. brown sugar (specify) (in-kind),,
EF09A,EF_9,9. เครื่องปรุงรส และ เครื่องเทศ (ตัวเงิน),9. Spices and Condiments (cash),,
EF09BC,EF_9,9. เครื่องปรุงรส และ เครื่องเทศ (สิ่งของ),9. Spices and Condiments (in-kind),,
EF0901A,EF09A,น้ำจิ้มสำเร็จรูป (ไก่ สุกี้) (ตัวเงิน),Instant Dipping Sauce (cash),,
EF0901BC,EF09BC,น้ำจิ้มสำเร็จรูป (ไก่ สุกี้) (สิ่งของ),Instant Dipping Sauce (in-kind),,
EF0902A,EF09A,ซอสปรุงรส (เช่น ซอสแม็กกี้ ซอสทาคูมิ) (ตัวเงิน),Seasoning sauce (cash),,
EF0902BC,EF09BC,ซอสปรุงรส (เช่น ซอสแม็กกี้ ซอสทาคูมิ) (สิ่งของ),Seasoning sauce (in-kind),,
EF0903A,EF09A,เกลือ (ตัวเงิน),Salt (cash),,
EF0903BC,EF09BC,เกลือ (สิ่งของ),Salt (in-kind),,
EF0904A,EF09A,น้ำปลา (ตัวเงิน),Fish sauce (cash),,
EF0904BC,EF09BC,น้ำปลา (สิ่งของ),Fish sauce (in-kind),,
EF0905A,EF09A,น้ำปลาร้า (ปรุงสำเร็จ) (ตัวเงิน),Fermented fish sauce (cash),,
EF0905BC,EF09BC,น้ำปลาร้า (ปรุงสำเร็จ) (สิ่งของ),Fermented fish sauce (in-kind),,
EF0906A,EF09A,ซีอิ๊วขาว (ตัวเงิน),Soy sauce (cash),,
EF0906BC,EF09BC,ซีอิ๊วขาว (สิ่งของ),Soy sauce (in-kind),,
EF0907A,EF09A,น้ำมันหอย/ ซอสหอยนางรม (ตัวเงิน),Oyster sauce (cash),,
EF0907BC,EF09BC,น้ำมันหอย/ ซอสหอยนางรม (สิ่งของ),Oyster sauce (in-kind),,
EF0908A,EF09A,ซอสพริก (ตัวเงิน),Chili sauce (cash),,
EF0908BC,EF09BC,ซอสพริก (สิ่งของ),Chili sauce (in-kind),,
EF0909A,EF09A,ซอสมะเขือเทศ (ตัวเงิน),Tomoto sauce (cash),,
EF0909BC,EF09BC,ซอสมะเขือเทศ (สิ่งของ),Tomoto sauce (in-kind),,
EF0910A,EF09A,กะปิ (ตัวเงิน),Shrimp paste (cash),,
EF0910BC,EF09BC,กะปิ (สิ่งของ),Shrimp paste (in-kind),,
EF0911A,EF09A,มะขามเปียก (ตัวเงิน),Tamarind (cash),,
EF0911BC,EF09BC,มะขามเปียก (สิ่งของ),Tamarind (in-kind),,
EF0912A,EF09A,เครื่องปรุงรส (ซุปก้อนทุกยี่ห้อ / ผงสำเร็จรูป) (ตัวเงิน),Seasonings (Soup cubes / Instant powder) (cash),,
EF0912BC,EF09BC,เครื่องปรุงรส (ซุปก้อนทุกยี่ห้อ / ผงสำเร็จรูป) (สิ่งของ),Seasonings (Soup cubes / Instant powder) (in-kind),,
EF0913A,EF09A,ผงชูรส (ตัวเงิน),Monosodium glutamate (cash),,
EF0913BC,EF09BC,ผงชูรส (สิ่งของ),Monosodium glutamate (in-kind),,
EF0914A,EF09A,พริกแกง (ตัวเงิน),Spicy paste (cash),,
EF0914BC,EF09BC,พริกแกง (สิ่งของ),Spicy paste (in-kind),,
EF0915A,EF09A,เครื่องปรุงรสและเครื่องเทศอื่น ๆ (ระบุ) (ตัวเงิน),Other seasonings and spices (specify) (cash),,
EF0915BC,EF09BC,เครื่องปรุงรสและเครื่องเทศอื่น ๆ (ระบุ) (สิ่งของ),Other seasonings and spices (specify) (in-kind),,
EF10A,EF_10,ผลิตภัณฑ์กึ่งสำเร็จรูป (ตัวเงิน),Semi - prepared products (cash),,
EF10BC,EF_10,ผลิตภัณฑ์กึ่งสำเร็จรูป (สิ่งของ),Semi - prepared products (in-kind),,
EF1001A,EF10A,กาแฟเม็ด กาแฟผง กาแฟแคปซูล (ตัวเงิน),Coffee beans / powder / capsules (cash),,
EF1001BC,EF10BC,กาแฟเม็ด กาแฟผง กาแฟแคปซูล (สิ่งของ),Coffee beans / powder / capsules (in-kind),,
EF1002A,EF10A,ชาผงสำเร็จรูป / ใบชา (ตัวเงิน),Instant tea powder / Tea leaves (cash),,
EF1002BC,EF10BC,ชาผงสำเร็จรูป / ใบชา (สิ่งของ),Instant tea powder / Tea leaves (in-kind),,
EF1003A,EF10A,ไมโล โอวัลติน โกโก้ / ช๊อกโกแลตผง (ตัวเงิน),"Milo, Ovaltine, Cocoa / Chocolate Powder (cash)",,
EF1003BC,EF10BC,ไมโล โอวัลติน โกโก้ / ช๊อกโกแลตผง (สิ่งของ),"Milo, Ovaltine, Cocoa / Chocolate Powder (in-kind)",,
EF1004A,EF10A,น้ำหวานชนิดเข้มข้น (เช่น เฮลบลูบอย ติ่งฟง ฯลฯ) (ตัวเงิน),Concentrated squash (cash),,
EF1004BC,EF10BC,น้ำหวานชนิดเข้มข้น (เช่น เฮลบลูบอย ติ่งฟง ฯลฯ) (สิ่งของ),Concentrated squash (in-kind),,
EF1005A,EF10A,ผลิตภัณฑ์กึ่งสำเร็จรูปอื่น ๆ (ระบุ) (ตัวเงิน),Other semi-finished products (specify) (cash),,
EF1005BC,EF10BC,ผลิตภัณฑ์กึ่งสำเร็จรูปอื่น ๆ (ระบุ) (สิ่งของ),Other semi-finished products (specify) (in-kind),,
EF11A,EF_10,ผลิตภัณฑ์สำเร็จรูป (ตัวเงิน),Prepared products (cash),,
EF11BC,EF_10,ผลิตภัณฑ์สำเร็จรูป (สิ่งของ),Prepared products (in-kind),,
EF1101A,EF11A,โซดา (ตัวเงิน),Soda (cash),,
EF1101BC,EF11BC,โซดา (สิ่งของ),Soda (in-kind),,
EF1102A,EF11A,น้ำอัดลม (ตัวเงิน),Soft drink (cash),,
EF1102BC,EF11BC,น้ำอัดลม (สิ่งของ),Soft drink (in-kind),,
EF1103A,EF11A,น้ำผัก / ผลไม้พร้อมดื่ม (กล่อง/ขวด) (ตัวเงิน),Ready-to-drink vegetable / fruit juices (cash),,
EF1103BC,EF11BC,น้ำผัก / ผลไม้พร้อมดื่ม (กล่อง/ขวด) (สิ่งของ),Ready-to-drink vegetable / fruit juices (in-kind),,
EF1104A,EF11A,น้ำผัก / ผลไม้ (คั้น/ปั่นสด) (ตัวเงิน),Vegetable / fruit juices (cash),,
EF1104BC,EF11BC,น้ำผัก / ผลไม้ (คั้น/ปั่นสด) (สิ่งของ),Vegetable / fruit juices (in-kind),,
EF1105A,EF11A,น้ำดื่มบริสุทธิ์ (บรรจุขวด) (ตัวเงิน),Drinking water (bottled) (cash),,
EF1105BC,EF11BC,น้ำดื่มบริสุทธิ์ (บรรจุขวด) (สิ่งของ),Drinking water (bottled) (in-kind),,
EF1106A,EF11A,น้ำแข็ง (ยูนิตถุง) (ตัวเงิน),Ice (cash),,
EF1106BC,EF11BC,น้ำแข็ง (ยูนิตถุง) (สิ่งของ),Ice (in-kind),,
EF1107A,EF11A,ชา/กาแฟ/น้ำหวาน (ชงสด) (ตัวเงิน),Tea / coffee / sweet water (freshly brewed) (cash),,
EF1107BC,EF11BC,ชา/กาแฟ/น้ำหวาน (ชงสด) (สิ่งของ),Tea / coffee / sweet water (freshly brewed) (in-kind),,
EF1108A,EF11A,กาแฟสำเร็จรูปพร้อมดื่ม (กระป๋อง/ขวด) (ตัวเงิน),Ready-to-drink coffee. (can/bottle) (cash),,
EF1108BC,EF11BC,กาแฟสำเร็จรูปพร้อมดื่ม (กระป๋อง/ขวด) (สิ่งของ),Ready-to-drink coffee. (can/bottle) (in-kind),,
EF1109A,EF11A,ชาสำเร็จรูปพร้อมดื่ม (กระป๋อง/ขวด) (ตัวเงิน),Ready-to-drink tea (can/bottle) (cash),,
EF1109BC,EF11BC,ชาสำเร็จรูปพร้อมดื่ม (กระป๋อง/ขวด) (สิ่งของ),Ready-to-drink tea (can/bottle) (in-kind),,
EF1110A,EF11A,เครื่องดื่มชูกำลัง / บำรุงร่างกาย (ตัวเงิน),Energy drink / body nourishment (cash),,
EF1110BC,EF11BC,เครื่องดื่มชูกำลัง / บำรุงร่างกาย (สิ่งของ),Energy drink / body nourishment (in-kind),,
EF1111A,EF11A,อาหารเสริมบำรุงสุขภาพ เช่น ซุปไก่สกัด  รังนก (ตัวเงิน),Food supplements to nourish health (cash),,
EF1111BC,EF11BC,อาหารเสริมบำรุงสุขภาพ เช่น ซุปไก่สกัด  รังนก (สิ่งของ),Food supplements to nourish health (in-kind),,
EF1112A,EF11A,ผลิตภัณฑ์สำเร็จรูปอื่น ๆ (ระบุ) (ตัวเงิน),Other finished products (specify) (cash),,
EF1112BC,EF11BC,ผลิตภัณฑ์สำเร็จรูปอื่น ๆ (ระบุ) (สิ่งของ),Other finished products (specify) (in-kind),,
EF12A,EF_11,11. อาหารสำเร็จรูปที่ซื้อมา (บริโภคที่บ้าน) (ตัวเงิน),11. Prepared food  (consumed at home) (cash),,
EF12BC,EF_11,11. อาหารสำเร็จรูปที่ซื้อมา (บริโภคที่บ้าน) (สิ่งของ),11. Prepared food  (consumed at home) (in-kind),,
EF1201A,EF12A,ข้าวราดแกง (ตัวเงิน),Rice and curry (cash),,
EF1201BC,EF12BC,ข้าวราดแกง (สิ่งของ),Rice and curry (in-kind),,
EF1202A,EF12A,ข้าวผัด (ตัวเงิน),Fried rice (cash),,
EF1202BC,EF12BC,ข้าวผัด (สิ่งของ),Fried rice (in-kind),,
EF1203A,EF12A,ผัดซีอิ๊ว/ราดหน้า (ตัวเงิน),Fried thin noodles with soy sauce / (cash),,
EF1203BC,EF12BC,ผัดซีอิ๊ว/ราดหน้า (สิ่งของ),Fried thin noodles with soy sauce / (in-kind),,
EF1204A,EF12A,ข้าวหมูแดง/หมูกรอบ/ข้าวมันไก่ (ตัวเงิน),Red pork rice / crispy pork / rice steamed (cash),,
EF1204BC,EF12BC,ข้าวหมูแดง/หมูกรอบ/ข้าวมันไก่ (สิ่งของ),Red pork rice / crispy pork / rice steamed (in-kind),,
EF1205A,EF12A,ส้มตำ (ตัวเงิน),Green papaya salad (cash),,
EF1205BC,EF12BC,ส้มตำ (สิ่งของ),Green papaya salad (in-kind),,
EF1206A,EF12A,ยำประเภทต่าง ๆ (ตัวเงิน),Various spicy salad (cash),,
EF1206BC,EF12BC,ยำประเภทต่าง ๆ (สิ่งของ),Various spicy salad (in-kind),,
EF1207A,EF12A,กับข้าวสำเร็จรูป (แกงถุง) (ตัวเงิน),Curry bag (cash),,
EF1207BC,EF12BC,กับข้าวสำเร็จรูป (แกงถุง) (สิ่งของ),Curry bag (in-kind),,
EF1208A,EF12A,ก๋วยเตี๋ยว / บะหมี่ (ตัวเงิน),Noodles (cash),,
EF1208BC,EF12BC,ก๋วยเตี๋ยว / บะหมี่ (สิ่งของ),Noodles (in-kind),,
EF1209A,EF12A,โจ๊ก/ข้าวต้มทรงเครื่อง (ตัวเงิน),Congee / Boiled Rice (cash),,
EF1209BC,EF12BC,โจ๊ก/ข้าวต้มทรงเครื่อง (สิ่งของ),Congee / Boiled Rice (in-kind),,
EF1210A,EF12A,ต้มเลือดหมู (ตัวเงิน),Blood tofu soup (cash),,
EF1210BC,EF12BC,ต้มเลือดหมู (สิ่งของ),Blood tofu soup (in-kind),,
EF1211A,EF12A,ข้าวราดผัดกะเพรา (ตัวเงิน),Fried basil on rice (cash),,
EF1211BC,EF12BC,ข้าวราดผัดกะเพรา (สิ่งของ),Fried basil on rice (in-kind),,
EF1212A,EF12A,ข้าวเปล่า (ตัวเงิน),Streamed rice (cash),,
EF1212BC,EF12BC,ข้าวเปล่า (สิ่งของ),Streamed rice (in-kind),,
EF1213A,EF12A,ต้มยำ (ตัวเงิน),Spicy soup (cash),,
EF1213BC,EF12BC,ต้มยำ (สิ่งของ),Spicy soup (in-kind),,
EF1214A,EF12A,ผัดผัก (ตัวเงิน),Stir-fried vegetables (cash),,
EF1214BC,EF12BC,ผัดผัก (สิ่งของ),Stir-fried vegetables (in-kind),,
EF1215A,EF12A,ชุดสุกี้พร้อมทาน (ตัวเงิน),Ready-to-eat Suki Set (cash),,
EF1215BC,EF12BC,ชุดสุกี้พร้อมทาน (สิ่งของ),Ready-to-eat Suki Set (in-kind),,
EF1216A,EF12A,อาหารประเภทฟาสต์ฟู้ด (ตัวเงิน),Fast food (cash),,
EF1216BC,EF12BC,อาหารประเภทฟาสต์ฟู้ด (สิ่งของ),Fast food (in-kind),,
EF1217A,EF12A,ไก่ย่าง/ไก่ทอด (ตัวเงิน),Grilled Chicken / Fried Chicken (cash),,
EF1217BC,EF12BC,ไก่ย่าง/ไก่ทอด (สิ่งของ),Grilled Chicken / Fried Chicken (in-kind),,
EF1218A,EF12A,เป็ดพะโล้/เป็ดย่าง (ตัวเงิน),Stewed Duck / Roasted Duck (cash),,
EF1218BC,EF12BC,เป็ดพะโล้/เป็ดย่าง (สิ่งของ),Stewed Duck / Roasted Duck (in-kind),,
EF1219A,EF12A,หมูย่าง/หมูทอด (ตัวเงิน),Grilled pork / fried pork (cash),,
EF1219BC,EF12BC,หมูย่าง/หมูทอด (สิ่งของ),Grilled pork / fried pork (in-kind),,
EF1220A,EF12A,ปลาทอด/ปลาเผา/ปลาย่าง/ปลาราดพริก (ตัวเงิน),Fried fish / grilled fish / chili topped fish (cash),,
EF1220BC,EF12BC,ปลาทอด/ปลาเผา/ปลาย่าง/ปลาราดพริก (สิ่งของ),Fried fish / grilled fish / chili topped fish (in-kind),,
EF1221A,EF12A,กุ้งเผา (ตัวเงิน),Grilled shrimp (cash),,
EF1221BC,EF12BC,กุ้งเผา (สิ่งของ),Grilled shrimp (in-kind),,
EF1222A,EF12A,ปูนึ่ง (ตัวเงิน),Steamed crab (cash),,
EF1222BC,EF12BC,ปูนึ่ง (สิ่งของ),Steamed crab (in-kind),,
EF1223A,EF12A,อาหารสำเร็จรูปที่นำมาอบด้วยความร้อน (ตัวเงิน),Ready-to-eat foods that are baked (cash),,
EF1223BC,EF12BC,อาหารสำเร็จรูปที่นำมาอบด้วยความร้อน (สิ่งของ),Ready-to-eat foods that are baked (in-kind),,
EF1224A,EF12A,อาหารกึ่งสำเร็จรูป (เช่น บะหมี่/มาม่า/ (ตัวเงิน),Instant food (e.g. instant noodles / (cash),,
EF1224BC,EF12BC,อาหารกึ่งสำเร็จรูป (เช่น บะหมี่/มาม่า/ (สิ่งของ),Instant food (e.g. instant noodles / (in-kind),,
EF1225A,EF12A,อื่น ๆ (ระบุ) (รวม อาหารปิ่นโต/อาหารว่าง) (ตัวเงิน),Others (specify) (including lunchbox / snacks) (cash),,
EF1225BC,EF12BC,อื่น ๆ (ระบุ) (รวม อาหารปิ่นโต/อาหารว่าง) (สิ่งของ),Others (specify) (including lunchbox / snacks) (in-kind),,
EF13A,EF_12,12. อาหารและเครื่องดื่มที่ไม่มีแอลกอฮอล์ (บริโภคนอกบ้าน) (ตัวเงิน),12. Food and Non-alcoholic beverages (Consumed away from home) (cash),,
EF13BC,EF_12,12. อาหารและเครื่องดื่มที่ไม่มีแอลกอฮอล์ (บริโภคนอกบ้าน) (สิ่งของ),12. Food and Non-alcoholic beverages (Consumed away from home) (in-kind),,
EF13_1A,EF13A,อาหารเช้า (ตัวเงิน),Breakfast (cash),,
EF13_1BC,EF13BC,อาหารเช้า (สิ่งของ),Breakfast (in-kind),,
EF13_101A,EF13_1A,ข้าวราดแกง (ตัวเงิน),Breakfast: Rice and curry (cash),,
EF13_101BC,EF13_1BC,ข้าวราดแกง (สิ่งของ),Breakfast: Rice and curry (in-kind),,
EF13_102A,EF13_1A,ข้าวผัด (ตัวเงิน),Breakfast: Fried rice (cash),,
EF13_102BC,EF13_1BC,ข้าวผัด (สิ่งของ),Breakfast: Fried rice (in-kind),Breakfast: ,Breakfast: Breakfast: Fried rice (in-kind)
EF13_103A,EF13_1A,ผัดซีอิ๊ว/ราดหน้า (ตัวเงิน),Breakfast: Fried stir noodles with soy sauce / (cash),,Breakfast: Breakfast: Fried stir noodles with soy sauce / (cash)
EF13_103BC,EF13_1BC,ผัดซีอิ๊ว/ราดหน้า (สิ่งของ),Breakfast: Fried stir noodles with soy sauce / (in-kind),,Breakfast: Breakfast: Fried stir noodles with soy sauce / (in-kind)
EF13_104A,EF13_1A,ข้าวหมูแดง/หมูกรอบ/ข้าวมันไก่ (ตัวเงิน),Breakfast: Red pork rice / crispy pork / rice steamed (cash),,Breakfast: Breakfast: Red pork rice / crispy pork / rice steamed (cash)
EF13_104BC,EF13_1BC,ข้าวหมูแดง/หมูกรอบ/ข้าวมันไก่ (สิ่งของ),Breakfast: Red pork rice / crispy pork / rice steamed (in-kind),,Breakfast: Breakfast: Red pork rice / crispy pork / rice steamed (in-kind)
EF13_105A,EF13_1A,กับข้าวสำเร็จรูป (แกงถุง) (ตัวเงิน),Breakfast: Curry bag (cash),,Breakfast: Breakfast: Curry bag (cash)
EF13_105BC,EF13_1BC,กับข้าวสำเร็จรูป (แกงถุง) (สิ่งของ),Breakfast: Curry bag (in-kind),,Breakfast: Breakfast: Curry bag (in-kind)
EF13_106A,EF13_1A,ก๋วยเตี๋ยว/บะหมี่ (ตัวเงิน),Breakfast: Noodles (cash),,Breakfast: Breakfast: Noodles (cash)
EF13_106BC,EF13_1BC,ก๋วยเตี๋ยว/บะหมี่ (สิ่งของ),Breakfast: Noodles (in-kind),,Breakfast: Breakfast: Noodles (in-kind)
EF13_107A,EF13_1A,โจ๊ก/ข้าวต้มทรงเครื่อง (ตัวเงิน),Breakfast: Congee / Boiled Rice (cash),,Breakfast: Breakfast: Congee / Boiled Rice (cash)
EF13_107BC,EF13_1BC,โจ๊ก/ข้าวต้มทรงเครื่อง (สิ่งของ),Breakfast: Congee / Boiled Rice (in-kind),,Breakfast: Breakfast: Congee / Boiled Rice (in-kind)
EF13_108A,EF13_1A,ต้มเลือดหมู (ตัวเงิน),Breakfast: Blood tofu soup (cash),,Breakfast: Breakfast: Blood tofu soup (cash)
EF13_108BC,EF13_1BC,ต้มเลือดหมู (สิ่งของ),Breakfast: Blood tofu soup (in-kind),,Breakfast: Breakfast: Blood tofu soup (in-kind)
EF13_109A,EF13_1A,ข้าวราดผัดกะเพรา (ตัวเงิน),Breakfast: Fried basil on rice (cash),,Breakfast: Breakfast: Fried basil on rice (cash)
EF13_109BC,EF13_1BC,ข้าวราดผัดกะเพรา (สิ่งของ),Breakfast: Fried basil on rice (in-kind),,Breakfast: Breakfast: Fried basil on rice (in-kind)
EF13_110A,EF13_1A,ข้าวเปล่า (ตัวเงิน),Breakfast: Streamed rice (cash),,Breakfast: Breakfast: Streamed rice (cash)
EF13_110BC,EF13_1BC,ข้าวเปล่า (สิ่งของ),Breakfast: Streamed rice (in-kind),,Breakfast: Breakfast: Streamed rice (in-kind)
EF13_111A,EF13_1A,ต้มยำ (ตัวเงิน),Breakfast: Spicy soup (cash),,Breakfast: Breakfast: Spicy soup (cash)
EF13_111BC,EF13_1BC,ต้มยำ (สิ่งของ),Breakfast: Spicy soup (in-kind),,Breakfast: Breakfast: Spicy soup (in-kind)
EF13_112A,EF13_1A,ผัดผัก (ตัวเงิน),Breakfast: Stir-fried vegetables (cash),,Breakfast: Breakfast: Stir-fried vegetables (cash)
EF13_112BC,EF13_1BC,ผัดผัก (สิ่งของ),Breakfast: Stir-fried vegetables (in-kind),,Breakfast: Breakfast: Stir-fried vegetables (in-kind)
EF13_113A,EF13_1A,ชุดสุกี้พร้อมทาน (ตัวเงิน),Breakfast: Ready-to-eat Suki Set (cash),,Breakfast: Breakfast: Ready-to-eat Suki Set (cash)
EF13_113BC,EF13_1BC,ชุดสุกี้พร้อมทาน (สิ่งของ),Breakfast: Ready-to-eat Suki Set (in-kind),,Breakfast: Breakfast: Ready-to-eat Suki Set (in-kind)
EF13_114A,EF13_1A,อาหารประเภทฟาสต์ฟู้ด (ตัวเงิน),Breakfast: Fast food (cash),,Breakfast: Breakfast: Fast food (cash)
EF13_114BC,EF13_1BC,อาหารประเภทฟาสต์ฟู้ด (สิ่งของ),Breakfast: Fast food (in-kind),,Breakfast: Breakfast: Fast food (in-kind)
EF13_115A,EF13_1A,ไก่ย่าง/ไก่ทอด (ตัวเงิน),Breakfast: Grilled Chicken / Fried Chicken (cash),,Breakfast: Breakfast: Grilled Chicken / Fried Chicken (cash)
EF13_115BC,EF13_1BC,ไก่ย่าง/ไก่ทอด (สิ่งของ),Breakfast: Grilled Chicken / Fried Chicken (in-kind),,Breakfast: Breakfast: Grilled Chicken / Fried Chicken (in-kind)
EF13_116A,EF13_1A,เป็ดพะโล้/เป็ดย่าง (ตัวเงิน),Breakfast: Stewed Duck / Roasted Duck (cash),,Breakfast: Breakfast: Stewed Duck / Roasted Duck (cash)
EF13_116BC,EF13_1BC,เป็ดพะโล้/เป็ดย่าง (สิ่งของ),Breakfast: Stewed Duck / Roasted Duck (in-kind),,Breakfast: Breakfast: Stewed Duck / Roasted Duck (in-kind)
