ExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,ExpenditureGroup1Key,ThaiExpenditureGroup1Name,EnglishExpenditureGroup1Name,ExpenditureGroup2Key,ThaiExpenditureGroup2Name,EnglishExpenditureGroup2Name,ExpenditureGroup3Key,ThaiExpenditureGroup3Name,EnglishExpenditureGroup3Name,ExpenditureGroup4Key,ThaiExpenditureGroup4Name,EnglishExpenditureGroup4Name,ExpenditureGroup5Key,ThaiExpenditureGroup5Name,EnglishExpenditureGroup5Name
EG3015BC,เสื้อเชิ้ตทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Work shirt (in-kind),EG3015BC,เสื้อเชิ้ตทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Work shirt (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3016A,กระโปรง/กางเกงทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Work skirt / pants (cash),EG3016A,กระโปรง/กางเกงทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Work skirt / pants (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3016BC,กระโปรง/กางเกงทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Work skirt / pants (in-kind),EG3016BC,กระโปรง/กางเกงทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Work skirt / pants (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3017A,ชุดเดรสหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Dress (cash),EG3017A,ชุดเดรสหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Dress (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3017BC,ชุดเดรสหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Dress (in-kind),EG3017BC,ชุดเดรสหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Dress (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3018A,ชุดสูทหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Suit (cash),EG3018A,ชุดสูทหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Suit (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3018BC,ชุดสูทหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Suit (in-kind),EG3018BC,ชุดสูทหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Suit (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3019A,เครื่องแบบทำงาน/ชุดทำงาน อื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Office uniform and other uniforms (cash),EG3019A,เครื่องแบบทำงาน/ชุดทำงาน อื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Office uniform and other uniforms (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3019BC,เครื่องแบบทำงาน/ชุดทำงาน อื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Office uniform and other uniforms (in-kind),EG3019BC,เครื่องแบบทำงาน/ชุดทำงาน อื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Office uniform and other uniforms (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3020A,เสื้อเชิ้ตหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Shirt (cash),EG3020A,เสื้อเชิ้ตหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Shirt (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
