ExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,ExpenditureGroup1Key,ThaiExpenditureGroup1Name,EnglishExpenditureGroup1Name,ExpenditureGroup2Key,ThaiExpenditureGroup2Name,EnglishExpenditureGroup2Name,ExpenditureGroup3Key,ThaiExpenditureGroup3Name,EnglishExpenditureGroup3Name,ExpenditureGroup4Key,ThaiExpenditureGroup4Name,EnglishExpenditureGroup4Name
EF0106BC,ข้าวเจ้า (ข้าวสาร) (สิ่งของ),Rice (in-kind),EF0106BC,ข้าวเจ้า (ข้าวสาร) (สิ่งของ),Rice (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0107A,ข้าวเหนียว (ข้าวสาร) (ตัวเงิน),Glutinous rice (cash),EF0107A,ข้าวเหนียว (ข้าวสาร) (ตัวเงิน),Glutinous rice (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0107BC,ข้าวเหนียว (ข้าวสาร) (สิ่งของ),Glutinous rice (in-kind),EF0107BC,ข้าวเหนียว (ข้าวสาร) (สิ่งของ),Glutinous rice (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0108A,แป้งข้าวเจ้า (ตัวเงิน),Rice flour (cash),EF0108A,แป้งข้าวเจ้า (ตัวเงิน),Rice flour (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0108BC,แป้งข้าวเจ้า (สิ่งของ),Rice flour (in-kind),EF0108BC,แป้งข้าวเจ้า (สิ่งของ),Rice flour (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0109A,แป้งทอดกรอบ / แป้งอเนกประสงค์ (ตัวเงิน),Crispy Flour / All Purpose Flour (cash),EF0109A,แป้งทอดกรอบ / แป้งอเนกประสงค์ (ตัวเงิน),Crispy Flour / All Purpose Flour (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0109BC,แป้งทอดกรอบ / แป้งอเนกประสงค์ (สิ่งของ),Crispy Flour / All Purpose Flour (in-kind),EF0109BC,แป้งทอดกรอบ / แป้งอเนกประสงค์ (สิ่งของ),Crispy Flour / All Purpose Flour (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0110A,แป้งสาลี แป้งมันสำปะหลังและแป้งอื่น ๆ (ตัวเงิน),"Wheat, tapioca and other flours (cash)",EF0110A,แป้งสาลี แป้งมันสำปะหลังและแป้งอื่น ๆ (ตัวเงิน),"Wheat, tapioca and other flours (cash)",EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0110BC,แป้งสาลี แป้งมันสำปะหลังและแป้งอื่น ๆ (สิ่งของ),"Wheat, tapioca and other flours (in-kind)",EF0110BC,แป้งสาลี แป้งมันสำปะหลังและแป้งอื่น ๆ (สิ่งของ),"Wheat, tapioca and other flours (in-kind)",EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0111A,เส้นหมี่ (ตัวเงิน),Noodles (cash),EF0111A,เส้นหมี่ (ตัวเงิน),Noodles (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
